"","project_id","project_title","lead_staff"
"51",842,"Assessing baseline coastal monitoring from Metabarcoding eDNA time series","Lorraine Hamilton, Anaïs Lacoursière, Kimberly Howland"
"52",2591,"Baseline oceanographic assessment of the Fundian Channel-Browns Bank Area of Interest","Ryan Stanley, Yongsheng Wu, Nick Jeffery, William Perrie"
"53",1909,"Floc Camera Modifications and Integration","Brent Law, Douglas Schillinger"
"54",1034,"Rope release units for anchor retrieval of acoustic receiver moorings","Ryan Stanley, Susan Heaslip,Ryan Stanley, Susan Heaslip, Andrew Cogswell"
"55",639,"Bio-optical and biological instrumentation to study phytoplankton","Lindsay Beazley, Emmanuel Devred, Marc Ringuette,Emmanuel Devred,Emmanuel Devred, Kristen Wilson, Stephanie Clay, Melanie Hardy"
"56",1594,"Using the Maritimes Food Habits Database to Inform on Predator-Prey Dynamics of the main fish species of commercial interest feeding on forage species (i.e. northern shrimp)","Manon Cassista-Da Ros"
"57",1448,"Horse Mussel Project - Determination of connectivity between populations to support MCT","Lorraine Hamilton, Ryan Stanley, Nick Jeffery, Jessica Sameoto, Brendan Wringe, Brittany Wilson,Ryan Stanley, Nick Jeffery, Jessica Sameoto, Brendan Wringe, Brittany Wilson"
"58",272,"A high-coverage genome assembly and examination of population genomics in the economically important Snow Crab (Chionoecetes opilio)","Ryan Stanley, Nick Jeffery,Ryan Stanley, Nick Jeffery, Ian Bradbury"
"59",277,"Estimating the interacting effects of groundfish predation and climate on shellfish spatial distributions","Ryan Stanley, Adam Cook"
"60",271,"Characterizing Northwest Atlantic Taxonomic and Functional Diversity Landscapes in support of Marine Protected Area Network Planning","Ryan Stanley, Claudio DiBacco"
"61",257,"Incorporating connectivity in Marine Protected Area Network design and site prioritization in the coastal Scotian Shelf using a high resolution circulation model","Ryan Stanley, Yongsheng Wu,Ryan Stanley, Yongsheng Wu, Andrew Cogswell"
